Pregnant,Cohort,Country,Admin1,Admin2,S,C,M,G,I_latent,S_latent,N
FALSE,FALSE,Bolivia,Chuquisaca,NA,194,11,NA,0,NA,NA,616073
FALSE,FALSE,Bolivia,Cochabamba,NA,186,26,NA,0,NA,NA,1915621
FALSE,FALSE,Bolivia,El Beni,NA,1002,374,NA,1,NA,NA,455928
FALSE,FALSE,Bolivia,La Paz,NA,189,45,NA,0,NA,NA,2842031
FALSE,FALSE,Bolivia,Oruro,NA,0,0,NA,0,NA,NA,525675
FALSE,FALSE,Bolivia,Pando,NA,96,27,NA,1,NA,NA,133966
FALSE,FALSE,Bolivia,Potosi,NA,0,0,NA,0,NA,NA,873901
FALSE,FALSE,Bolivia,Santa Cruz,NA,2078,745,NA,3,NA,NA,3078459
FALSE,FALSE,Bolivia,Tarija,NA,138,63,NA,0,NA,NA,543405
FALSE,FALSE,Bolivia,Chuquisaca,NA,NA,NA,1,NA,NA,NA,15755
FALSE,FALSE,Bolivia,Cochabamba,NA,NA,NA,0,NA,NA,NA,49170
FALSE,FALSE,Bolivia,El Beni,NA,NA,NA,5,NA,NA,NA,12203
FALSE,FALSE,Bolivia,La Paz,NA,NA,NA,3,NA,NA,NA,75134
FALSE,FALSE,Bolivia,Oruro,NA,NA,NA,0,NA,NA,NA,13551
FALSE,FALSE,Bolivia,Pando,NA,NA,NA,0,NA,NA,NA,2852
FALSE,FALSE,Bolivia,Potosi,NA,NA,NA,0,NA,NA,NA,22443
FALSE,FALSE,Bolivia,Santa Cruz,NA,NA,NA,28,NA,NA,NA,73283
FALSE,FALSE,Bolivia,Tarija,NA,NA,NA,1,NA,NA,NA,13229
