Pregnant,Cohort,Country,Admin1,Admin2,S,C,M,G,I_latent,S_latent,N
FALSE,FALSE,Brazil,Rondonia,NA,1145,NA,NA,NA,NA,NA,1662858.447
FALSE,FALSE,Brazil,Acre,NA,179,NA,NA,NA,NA,NA,739511.7243
FALSE,FALSE,Brazil,Amazonas,NA,5283,NA,NA,NA,NA,NA,3730808.441
FALSE,FALSE,Brazil,Roraima,NA,415,NA,NA,NA,NA,NA,480519.4994
FALSE,FALSE,Brazil,Para,NA,5461,NA,NA,NA,NA,NA,7872618.8
FALSE,FALSE,Brazil,Amapa,NA,483,NA,NA,NA,NA,NA,621681.696
FALSE,FALSE,Brazil,Tocantins,NA,3412,NA,NA,NA,NA,NA,1493907.345
FALSE,FALSE,Brazil,Maranhao,NA,5215,NA,NA,NA,NA,NA,6978776.281
FALSE,FALSE,Brazil,Piaui,NA,349,NA,NA,NA,NA,NA,3269320.652
FALSE,FALSE,Brazil,Ceara,NA,5834,NA,NA,NA,NA,NA,8966561.928
FALSE,FALSE,Brazil,Rio_Grande_do_Norte,NA,4997,NA,NA,NA,NA,NA,3372147.307
FALSE,FALSE,Brazil,Paraiba,NA,4267,NA,NA,NA,NA,NA,4004060.393
FALSE,FALSE,Brazil,Pernambuco,NA,540,NA,NA,NA,NA,NA,9413277.739
FALSE,FALSE,Brazil,Alagoas,NA,7271,NA,NA,NA,NA,NA,3319377.799
FALSE,FALSE,Brazil,Sergipe,NA,246,NA,NA,NA,NA,NA,2213615.913
FALSE,FALSE,Brazil,Bahia,NA,54954,NA,NA,NA,NA,NA,14366702.88
FALSE,FALSE,Brazil,Minas_Gerais,NA,15346,NA,NA,NA,NA,NA,21030052.07
FALSE,FALSE,Brazil,Espirito_Santo,NA,2962,NA,NA,NA,NA,NA,3638854.957
FALSE,FALSE,Brazil,Rio_de_Janeiro,NA,73447,NA,NA,NA,NA,NA,16700810.94
FALSE,FALSE,Brazil,Sao_Paulo,NA,6384,NA,NA,NA,NA,NA,43982176.41
FALSE,FALSE,Brazil,Parana,NA,792,NA,NA,NA,NA,NA,11155064.22
FALSE,FALSE,Brazil,Santa_Catarina,NA,123,NA,NA,NA,NA,NA,6501456.54
FALSE,FALSE,Brazil,Rio_Grande_do_Sul,NA,212,NA,NA,NA,NA,NA,11244423.84
FALSE,FALSE,Brazil,Mato_Grosso_do_Sul,NA,1920,NA,NA,NA,NA,NA,3266301.627
FALSE,FALSE,Brazil,Mato_Grosso,NA,24663,NA,NA,NA,NA,NA,2589610.558
FALSE,FALSE,Brazil,Goias,NA,15232,NA,NA,NA,NA,NA,6409745.362
FALSE,FALSE,Brazil,Distrito_Federal,NA,460,NA,NA,NA,NA,NA,2769241.174
FALSE,FALSE,Brazil,Rondonia,NA,NA,NA,34,NA,NA,NA,14799.44018
FALSE,FALSE,Brazil,Acre,NA,NA,NA,10,NA,NA,NA,6581.654346
FALSE,FALSE,Brazil,Amazonas,NA,NA,NA,78,NA,NA,NA,33204.19512
FALSE,FALSE,Brazil,Roraima,NA,NA,NA,18,NA,NA,NA,4276.623545
FALSE,FALSE,Brazil,Para,NA,NA,NA,22,NA,NA,NA,70066.30732
FALSE,FALSE,Brazil,Amapa,NA,NA,NA,17,NA,NA,NA,5532.967094
FALSE,FALSE,Brazil,Tocantins,NA,NA,NA,30,NA,NA,NA,13295.77537
FALSE,FALSE,Brazil,Maranhao,NA,NA,NA,230,NA,NA,NA,62111.1089
FALSE,FALSE,Brazil,Piaui,NA,NA,NA,121,NA,NA,NA,29096.9538
FALSE,FALSE,Brazil,Ceara,NA,NA,NA,255,NA,NA,NA,79802.40116
FALSE,FALSE,Brazil,Rio_Grande_do_Norte,NA,NA,NA,153,NA,NA,NA,30012.11103
FALSE,FALSE,Brazil,Paraiba,NA,NA,NA,213,NA,NA,NA,35636.1375
FALSE,FALSE,Brazil,Pernambuco,NA,NA,NA,471,NA,NA,NA,83778.17188
FALSE,FALSE,Brazil,Alagoas,NA,NA,NA,195,NA,NA,NA,29542.46241
FALSE,FALSE,Brazil,Sergipe,NA,NA,NA,138,NA,NA,NA,19701.18163
FALSE,FALSE,Brazil,Bahia,NA,NA,NA,659,NA,NA,NA,127863.6556
FALSE,FALSE,Brazil,Minas_Gerais,NA,NA,NA,182,NA,NA,NA,187167.4634
FALSE,FALSE,Brazil,Espirito_Santo,NA,NA,NA,122,NA,NA,NA,32385.80912
FALSE,FALSE,Brazil,Rio_de_Janeiro,NA,NA,NA,348,NA,NA,NA,148637.2174
FALSE,FALSE,Brazil,Sao_Paulo,NA,NA,NA,285,NA,NA,NA,391441.37
FALSE,FALSE,Brazil,Parana,NA,NA,NA,10,NA,NA,NA,99280.07156
FALSE,FALSE,Brazil,Santa_Catarina,NA,NA,NA,25,NA,NA,NA,57862.96321
FALSE,FALSE,Brazil,Rio_Grande_do_Sul,NA,NA,NA,49,NA,NA,NA,100075.3722
FALSE,FALSE,Brazil,Mato_Grosso_do_Sul,NA,NA,NA,34,NA,NA,NA,29070.08448
FALSE,FALSE,Brazil,Mato_Grosso,NA,NA,NA,101,NA,NA,NA,23047.53397
FALSE,FALSE,Brazil,Goias,NA,NA,NA,138,NA,NA,NA,57046.73372
FALSE,FALSE,Brazil,Distrito_Federal,NA,NA,NA,37,NA,NA,NA,24646.24645
FALSE,TRUE,Brazil,Bahia,Salvador,NA,NA,NA,NA,187,NA,299
TRUE,TRUE,Brazil,Pernambuco,Recife,NA,NA,NA,NA,39,NA,61
FALSE,FALSE,Brazil,NA,NA,231725,137288,NA,NA,NA,NA,201793484.5
