Pregnant,Cohort,Country,Admin1,Admin2,S,C,M,G,I_latent,S_latent,N
FALSE,FALSE,Colombia,Amazonas,NA,324,28,NA,6,NA,NA,72495.01623
FALSE,FALSE,Colombia,Antioquia,NA,2269,372,NA,57,NA,NA,6363512.734
FALSE,FALSE,Colombia,Arauca,NA,1693,201,NA,17,NA,NA,257314.9952
FALSE,FALSE,Colombia,Atlantico,NA,6454,429,NA,128,NA,NA,2449641.793
FALSE,FALSE,Colombia,Bogota,NA,0,0,NA,39,NA,NA,7644472.884
FALSE,FALSE,Colombia,Bolivar,NA,1747,272,NA,26,NA,NA,2063923.988
FALSE,FALSE,Colombia,Boyaca,NA,291,122,NA,4,NA,NA,1278346.921
FALSE,FALSE,Colombia,Caldas,NA,260,102,NA,7,NA,NA,992347.2584
FALSE,FALSE,Colombia,Caqueta,NA,921,259,NA,13,NA,NA,469809.5832
FALSE,FALSE,Colombia,Casanare,NA,3700,321,NA,18,NA,NA,345071.2572
FALSE,FALSE,Colombia,Cauca,NA,304,63,NA,13,NA,NA,1366467.517
FALSE,FALSE,Colombia,Cesar,NA,1404,283,NA,16,NA,NA,1011669.548
FALSE,FALSE,Colombia,Choco,NA,61,5,NA,4,NA,NA,505204.707
FALSE,FALSE,Colombia,Cordoba,NA,3127,268,NA,27,NA,NA,1663801.852
FALSE,FALSE,Colombia,Cundinamarca,NA,5031,334,NA,13,NA,NA,2692589.87
FALSE,FALSE,Colombia,Guainia,NA,11,2,NA,0,NA,NA,40064.7399
FALSE,FALSE,Colombia,Guajira,NA,632,98,NA,11,NA,NA,907404.1501
FALSE,FALSE,Colombia,Guaviare,NA,204,18,NA,2,NA,NA,108458.6261
FALSE,FALSE,Colombia,Huila,NA,6136,960,NA,34,NA,NA,1123032.196
FALSE,FALSE,Colombia,Magdalena,NA,2994,293,NA,19,NA,NA,1237332.2
FALSE,FALSE,Colombia,Meta,NA,3758,640,NA,21,NA,NA,933004.3556
FALSE,FALSE,Colombia,Narino,NA,71,27,NA,9,NA,NA,1700283.096
FALSE,FALSE,Colombia,Norte_Santander,NA,8972,1602,NA,79,NA,NA,1342967.82
FALSE,FALSE,Colombia,Putumayo,NA,451,119,NA,8,NA,NA,339813.8704
FALSE,FALSE,Colombia,Quindio,NA,379,30,NA,3,NA,NA,563272.4916
FALSE,FALSE,Colombia,Risaralda,NA,1192,149,NA,8,NA,NA,948761.2122
FALSE,FALSE,Colombia,San Andres,NA,1084,65,NA,10,NA,NA,43040.96233
FALSE,FALSE,Colombia,Santander,NA,9901,561,NA,23,NA,NA,2062652.236
FALSE,FALSE,Colombia,Sucre,NA,1544,121,NA,23,NA,NA,839662.9646
FALSE,FALSE,Colombia,Tolima,NA,6418,890,NA,34,NA,NA,1410800.743
