Pregnant,Cohort,Country,Admin1,Admin2,S,C,M,G,I_latent,S_latent,N
FALSE,FALSE,Costa Rica,Alajuela,NA,1030,124,NA,NA,NA,NA,969368.437
FALSE,FALSE,Costa Rica,Cartago,NA,36,0,NA,NA,NA,NA,559151.7558
FALSE,FALSE,Costa Rica,Guanacaste,NA,2074,252,NA,NA,NA,NA,374666.6285
FALSE,FALSE,Costa Rica,Heredia,NA,146,22,NA,NA,NA,NA,489988.1117
FALSE,FALSE,Costa Rica,Limón,NA,2555,203,NA,NA,NA,NA,407057.4362
FALSE,FALSE,Costa Rica,NA,NA,NA,NA,19,NA,NA,NA,73372.51372
FALSE,FALSE,Costa Rica,NA,NA,NA,NA,NA,2,NA,NA,4873899.937
FALSE,FALSE,Costa Rica,Puntarenas,NA,4021,580,NA,NA,NA,NA,456912.289
FALSE,FALSE,Costa Rica,San José,NA,372,63,NA,NA,NA,NA,1616755.279
TRUE,FALSE,Costa Rica,NA,NA,NA,246,NA,NA,NA,NA,102930.1121
