Pregnant,Cohort,Country,Admin1,Admin2,S,C,M,G,I_latent,S_latent,N
FALSE,FALSE,Dominican_Republic,Azua,NA,NA,NA,3,NA,NA,NA,4584.954233
FALSE,FALSE,Dominican_Republic,Baoruco,NA,NA,NA,0,NA,NA,NA,1933.795671
FALSE,FALSE,Dominican_Republic,Dajabon,NA,NA,NA,0,NA,NA,NA,1174.084854
FALSE,FALSE,Dominican_Republic,Duarte,NA,NA,NA,1,NA,NA,NA,5958.504814
FALSE,FALSE,Dominican_Republic,El_Seibo,NA,NA,NA,1,NA,NA,NA,1612.524181
FALSE,FALSE,Dominican_Republic,Espaillat,NA,NA,NA,1,NA,NA,NA,5103.285915
FALSE,FALSE,Dominican_Republic,Hato_Mayor,NA,NA,NA,0,NA,NA,NA,1814.538192
FALSE,FALSE,Dominican_Republic,Hermanas_Mirabal,NA,NA,NA,0,NA,NA,NA,1940.321032
FALSE,FALSE,Dominican_Republic,La_Altagracia,NA,NA,NA,0,NA,NA,NA,5426.527406
FALSE,FALSE,Dominican_Republic,La_Vega,NA,NA,NA,0,NA,NA,NA,8387.836565
FALSE,FALSE,Dominican_Republic,Maria_Trinidad_Sanchez,NA,NA,NA,0,NA,NA,NA,2803.976975
FALSE,FALSE,Dominican_Republic,Monsenor_Nouel,NA,NA,NA,0,NA,NA,NA,3827.764699
FALSE,FALSE,Dominican_Republic,Monte_Cristi,NA,NA,NA,0,NA,NA,NA,2186.57651
FALSE,FALSE,Dominican_Republic,Monte_Plata,NA,NA,NA,1,NA,NA,NA,3487.019636
FALSE,FALSE,Dominican_Republic,Pedernales,NA,NA,NA,0,NA,NA,NA,579.2797284
FALSE,FALSE,Dominican_Republic,Samana,NA,NA,NA,0,NA,NA,NA,1857.170587
FALSE,FALSE,Dominican_Republic,San_Jose_de_Ocoa,NA,NA,NA,0,NA,NA,NA,1196.227491
FALSE,FALSE,Dominican_Republic,San_Juan,NA,NA,NA,0,NA,NA,NA,4581.521121
FALSE,FALSE,Dominican_Republic,Sanchez_Ramirez,NA,NA,NA,0,NA,NA,NA,2892.705324
FALSE,FALSE,Dominican_Republic,Santiago_Rodriguez,NA,NA,NA,0,NA,NA,NA,1037.432385
FALSE,FALSE,Dominican_Republic,Valverde,NA,NA,NA,0,NA,NA,NA,3650.275925
FALSE,FALSE,Dominican_Republic,Distrito_Nacional,NA,NA,NA,4,NA,NA,NA,20050.0984
FALSE,FALSE,Dominican_Republic,Elias_Pina,NA,NA,NA,1,NA,NA,NA,1198.62641
FALSE,FALSE,Dominican_Republic,La_Romana,NA,NA,NA,0,NA,NA,NA,5728.278538
FALSE,FALSE,Dominican_Republic,Puerto_Plata,NA,NA,NA,2,NA,NA,NA,6957.094518
FALSE,FALSE,Dominican_Republic,San_Pedro_de_Macoris,NA,NA,NA,1,NA,NA,NA,6407.793914
FALSE,FALSE,Dominican_Republic,Santiago,NA,NA,NA,4,NA,NA,NA,23691.55473
FALSE,FALSE,Dominican_Republic,Barahona,NA,NA,NA,5,NA,NA,NA,3698.285323
FALSE,FALSE,Dominican_Republic,Independencia,NA,NA,NA,2,NA,NA,NA,1044.513092
FALSE,FALSE,Dominican_Republic,Peravia,NA,NA,NA,3,NA,NA,NA,4292.461736
FALSE,FALSE,Dominican_Republic,San_Cristobal,NA,NA,NA,4,NA,NA,NA,14972.49915
FALSE,FALSE,Dominican_Republic,Santo_Domingo,NA,NA,NA,21,NA,NA,NA,60134.25261
FALSE,FALSE,Dominican_Republic,NA,NA,NA,NA,54,NA,NA,NA,214211.78
FALSE,FALSE,Dominican_Republic,Azua,NA,116,17,NA,1,NA,NA,244003.3057
FALSE,FALSE,Dominican_Republic,Baoruco,NA,10,2,NA,0,NA,NA,112955.0058
FALSE,FALSE,Dominican_Republic,Barahona,NA,28,4,NA,0,NA,NA,198157.5444
FALSE,FALSE,Dominican_Republic,Dajabon,NA,21,5,NA,0,NA,NA,67268.65458
FALSE,FALSE,Dominican_Republic,Distrito_Nacional,NA,986,28,NA,3,NA,NA,889880.8479
FALSE,FALSE,Dominican_Republic,Duarte,NA,47,6,NA,2,NA,NA,317259.9807
FALSE,FALSE,Dominican_Republic,El_Seibo,NA,14,2,NA,1,NA,NA,94247.49993
FALSE,FALSE,Dominican_Republic,Elias_Pina,NA,8,0,NA,0,NA,NA,70600.50263
FALSE,FALSE,Dominican_Republic,Espaillat,NA,122,23,NA,3,NA,NA,245220.6872
FALSE,FALSE,Dominican_Republic,Hato_Mayor,NA,45,2,NA,0,NA,NA,99643.28361
FALSE,FALSE,Dominican_Republic,Hermanas_Mirabal,NA,24,2,NA,1,NA,NA,100206.3542
FALSE,FALSE,Dominican_Republic,Independencia,NA,74,4,NA,0,NA,NA,63466.08297
FALSE,FALSE,Dominican_Republic,La_Altagracia,NA,154,9,NA,0,NA,NA,305000.1664
FALSE,FALSE,Dominican_Republic,La_Romana,NA,64,3,NA,0,NA,NA,263476.2859
FALSE,FALSE,Dominican_Republic,La_Vega,NA,79,8,NA,0,NA,NA,424640.1175
FALSE,FALSE,Dominican_Republic,Maria_Trinidad_Sanchez,NA,16,4,NA,1,NA,NA,157842.4462
FALSE,FALSE,Dominican_Republic,Monsenor_Nouel,NA,44,4,NA,0,NA,NA,187458.1267
FALSE,FALSE,Dominican_Republic,Monte_Cristi,NA,15,2,NA,0,NA,NA,128975.2559
FALSE,FALSE,Dominican_Republic,Monte_Plata,NA,55,6,NA,0,NA,NA,206179.1859
FALSE,FALSE,Dominican_Republic,Pedernales,NA,9,1,NA,0,NA,NA,34082.16227
FALSE,FALSE,Dominican_Republic,Peravia,NA,58,2,NA,0,NA,NA,206212.8532
FALSE,FALSE,Dominican_Republic,Puerto_Plata,NA,209,27,NA,1,NA,NA,363226.9248
FALSE,FALSE,Dominican_Republic,Samana,NA,53,1,NA,1,NA,NA,105675.9886
FALSE,FALSE,Dominican_Republic,San_Cristobal,NA,344,12,NA,4,NA,NA,706572.8601
FALSE,FALSE,Dominican_Republic,San_Jose_de_Ocoa,NA,107,12,NA,0,NA,NA,66392.02415
FALSE,FALSE,Dominican_Republic,San_Juan,NA,29,5,NA,1,NA,NA,255908.1129
FALSE,FALSE,Dominican_Republic,San_Pedro_de_Macoris,NA,42,7,NA,0,NA,NA,302456.0085
FALSE,FALSE,Dominican_Republic,Sanchez_Ramirez,NA,25,1,NA,0,NA,NA,161067.0462
FALSE,FALSE,Dominican_Republic,Santiago,NA,282,49,NA,5,NA,NA,1101444.177
FALSE,FALSE,Dominican_Republic,Santiago_Rodriguez,NA,23,0,NA,0,NA,NA,59936.82858
FALSE,FALSE,Dominican_Republic,Santo_Domingo,NA,2028,91,NA,10,NA,NA,2716619.692
FALSE,FALSE,Dominican_Republic,Valverde,NA,122,4,NA,0,NA,NA,189515.8378
TRUE,FALSE,Dominican_Republic,Azua,NA,56,16,NA,NA,NA,NA,7935.592945
TRUE,FALSE,Dominican_Republic,Baoruco,NA,2,1,NA,NA,NA,NA,3314.784762
TRUE,FALSE,Dominican_Republic,Barahona,NA,12,3,NA,NA,NA,NA,6305.510028
