Pregnant,Cohort,Country,Admin1,Admin2,S,C,M,G,I_latent,S_latent,N
FALSE,FALSE,Ecuador,Sucumbios,NA,NA,15,NA,NA,NA,NA,191476.9261
FALSE,FALSE,Ecuador,Santo_Domingo_de_los_Tsachilas,NA,NA,207,NA,NA,NA,NA,444429.5684
FALSE,FALSE,Ecuador,Santa_Elena,NA,NA,29,NA,NA,NA,NA,319732.3021
FALSE,FALSE,Ecuador,Pichincha,NA,NA,45,NA,NA,NA,NA,2629244.345
FALSE,FALSE,Ecuador,Orellana,NA,NA,2,NA,NA,NA,NA,98717.78435
FALSE,FALSE,Ecuador,Manabi,NA,NA,3331,NA,NA,NA,NA,1479027.976
FALSE,FALSE,Ecuador,Los_Rios,NA,NA,123,NA,NA,NA,NA,842555.7248
FALSE,FALSE,Ecuador,Guayas,NA,NA,1290,NA,NA,NA,NA,3939424.8
FALSE,FALSE,Ecuador,Galapagos,NA,NA,5,NA,NA,NA,NA,26393.21183
FALSE,FALSE,Ecuador,Esmeraldas,NA,NA,208,NA,NA,NA,NA,613065.9069
FALSE,FALSE,Ecuador,El_Oro,NA,NA,78,NA,NA,NA,NA,640971.2913
FALSE,FALSE,Ecuador,Cotopaxi,NA,NA,1,NA,NA,NA,NA,443404.9054
FALSE,FALSE,Ecuador,Bolivar,NA,NA,2,NA,NA,NA,NA,199511.384
FALSE,FALSE,Ecuador,Canar,NA,NA,2,NA,NA,NA,NA,252544.7754
FALSE,FALSE,Ecuador,Loja,NA,NA,0,NA,NA,NA,NA,485359.2732
FALSE,FALSE,Ecuador,Napo,NA,NA,0,NA,NA,NA,NA,112432.07
FALSE,FALSE,Ecuador,Carchi,NA,NA,0,NA,NA,NA,NA,171406.9238
FALSE,FALSE,Ecuador,Imbabura,NA,NA,2,NA,NA,NA,NA,436928.8985
FALSE,FALSE,Ecuador,Chimborazo,NA,NA,4,NA,NA,NA,NA,492079.4472
FALSE,FALSE,Ecuador,Tungurahua,NA,NA,0,NA,NA,NA,NA,543622.0705
FALSE,FALSE,Ecuador,Azuay,NA,NA,3,NA,NA,NA,NA,769603.6773
FALSE,FALSE,Ecuador,Zamora_Chinchipe,NA,NA,1,NA,NA,NA,NA,98831.75731
