Pregnant,Cohort,Country,Admin1,Admin2,S,C,M,G,I_latent,S_latent,N
FALSE,FALSE,El Salvador,Ahuachapan,NA,203,NA,NA,NA,NA,NA,346019.3787
FALSE,FALSE,El Salvador,Cabanas,NA,479,NA,NA,NA,NA,NA,161667.7669
FALSE,FALSE,El Salvador,Chalatenango,NA,835,NA,NA,NA,NA,NA,208060.314
FALSE,FALSE,El Salvador,Cuscatlan,NA,736,NA,NA,NA,NA,NA,252810.9997
FALSE,FALSE,El Salvador,La_Libertad,NA,1631,NA,NA,NA,NA,NA,720053.3013
FALSE,FALSE,El Salvador,La_Paz,NA,255,NA,NA,NA,NA,NA,330363.645
FALSE,FALSE,El Salvador,La_Union,NA,86,NA,NA,NA,NA,NA,234118.9226
FALSE,FALSE,El Salvador,Morazan,NA,208,NA,NA,NA,NA,NA,189203.1937
FALSE,FALSE,El Salvador,NA,NA,11789,51,NA,NA,NA,NA,6244597.961
FALSE,FALSE,El Salvador,NA,NA,NA,NA,4,NA,NA,NA,126938.4441
FALSE,FALSE,El Salvador,San_Miguel,NA,308,NA,NA,NA,NA,NA,461029.5842
FALSE,FALSE,El Salvador,San_Salvador,NA,5186,NA,NA,NA,NA,NA,1734950.742
FALSE,FALSE,El Salvador,San_Vicente,NA,647,NA,NA,NA,NA,NA,177677.4158
FALSE,FALSE,El Salvador,Santa_Ana,NA,856,NA,NA,NA,NA,NA,569730.1117
FALSE,FALSE,El Salvador,Sonsonate,NA,157,NA,NA,NA,NA,NA,474367.4347
FALSE,FALSE,El Salvador,Usulutan,NA,288,NA,NA,NA,NA,NA,384545.1507
TRUE,FALSE,El Salvador,Ahuachapan,NA,6,NA,NA,NA,NA,NA,11994.35552
TRUE,FALSE,El Salvador,Cabanas,NA,34,NA,NA,NA,NA,NA,5542.102742
TRUE,FALSE,El Salvador,Chalatenango,NA,39,NA,NA,NA,NA,NA,6983.851116
TRUE,FALSE,El Salvador,Cuscatlan,NA,32,NA,NA,NA,NA,NA,9001.650548
TRUE,FALSE,El Salvador,La_Libertad,NA,37,NA,NA,NA,NA,NA,25710.018
TRUE,FALSE,El Salvador,La_Paz,NA,8,NA,NA,NA,NA,NA,11224.79056
TRUE,FALSE,El Salvador,La_Union,NA,4,NA,NA,NA,NA,NA,7927.145581
TRUE,FALSE,El Salvador,Morazan,NA,9,NA,NA,NA,NA,NA,6349.002401
TRUE,FALSE,El Salvador,NA,NA,415,8,NA,NA,NA,NA,220864.0983
TRUE,FALSE,El Salvador,San_Miguel,NA,19,NA,NA,NA,NA,NA,16067.57674
TRUE,FALSE,El Salvador,San_Salvador,NA,158,NA,NA,NA,NA,NA,63947.51497
TRUE,FALSE,El Salvador,San_Vicente,NA,27,NA,NA,NA,NA,NA,6107.03953
TRUE,FALSE,El Salvador,Santa_Ana,NA,18,NA,NA,NA,NA,NA,20063.8848
TRUE,FALSE,El Salvador,Sonsonate,NA,8,NA,NA,NA,NA,NA,16729.25415
TRUE,FALSE,El Salvador,Usulutan,NA,15,NA,NA,NA,NA,NA,13215.9116
