Pregnant,Cohort,Country,Admin1,Admin2,S,C,M,G,I_latent,S_latent,N
FALSE,FALSE,Guatemala,Solola,NA,NA,NA,0,NA,NA,NA,14790.22967
FALSE,FALSE,Guatemala,Totonicapan,NA,NA,NA,0,NA,NA,NA,15970.55161
FALSE,FALSE,Guatemala,Chimaltenango,NA,NA,NA,1,NA,NA,NA,20482.26957
FALSE,FALSE,Guatemala,Huehuetenango,NA,NA,NA,1,NA,NA,NA,40232.25286
FALSE,FALSE,Guatemala,San_Marcos,NA,NA,NA,1,NA,NA,NA,29646.84783
FALSE,FALSE,Guatemala,El_Progreso,NA,NA,NA,2,NA,NA,NA,4943.011122
FALSE,FALSE,Guatemala,Jalapa,NA,NA,NA,2,NA,NA,NA,10122.6165
FALSE,FALSE,Guatemala,Retalhuleu,NA,NA,NA,2,NA,NA,NA,10955.90605
FALSE,FALSE,Guatemala,Peten,NA,NA,NA,3,NA,NA,NA,21143.00428
FALSE,FALSE,Guatemala,Quiche,NA,NA,NA,3,NA,NA,NA,30791.15729
FALSE,FALSE,Guatemala,Alta_Verapaz,NA,NA,NA,5,NA,NA,NA,35597.79854
FALSE,FALSE,Guatemala,Sacatepequez,NA,NA,NA,5,NA,NA,NA,12913.82839
FALSE,FALSE,Guatemala,Quezaltenango,NA,NA,NA,6,NA,NA,NA,26347.09769
FALSE,FALSE,Guatemala,Izabal,NA,NA,NA,9,NA,NA,NA,14018.98221
FALSE,FALSE,Guatemala,Jutiapa,NA,NA,NA,11,NA,NA,NA,14024.91667
FALSE,FALSE,Guatemala,Baja_Verapaz,NA,NA,NA,12,NA,NA,NA,8339.456346
FALSE,FALSE,Guatemala,Zacapa,NA,NA,NA,13,NA,NA,NA,7343.365191
FALSE,FALSE,Guatemala,Santa_Rosa,NA,NA,NA,15,NA,NA,NA,11257.14592
FALSE,FALSE,Guatemala,Chiquimula,NA,NA,NA,17,NA,NA,NA,11980.29068
FALSE,FALSE,Guatemala,Suchitepequez,NA,NA,NA,17,NA,NA,NA,17664.58331
FALSE,FALSE,Guatemala,Escuintla,NA,NA,NA,23,NA,NA,NA,25135.1155
FALSE,FALSE,Guatemala,Guatemala,NA,NA,NA,76,NA,NA,NA,107624.7963
FALSE,FALSE,Guatemala,Alta_Verapaz,NA,94,31,NA,12,NA,NA,1183135.867
FALSE,FALSE,Guatemala,Baja_Verapaz,NA,10,41,NA,3,NA,NA,277839.9431
FALSE,FALSE,Guatemala,Chimaltenango,NA,1,1,NA,4,NA,NA,669798.6918
FALSE,FALSE,Guatemala,Chiquimula,NA,466,84,NA,6,NA,NA,394264.5199
FALSE,FALSE,Guatemala,El_Progreso,NA,72,9,NA,1,NA,NA,164571.2769
FALSE,FALSE,Guatemala,Escuintla,NA,162,36,NA,5,NA,NA,810929.7146
FALSE,FALSE,Guatemala,Guatemala,NA,886,274,NA,16,NA,NA,3320177.592
FALSE,FALSE,Guatemala,Huehuetenango,NA,25,22,NA,3,NA,NA,1334542.898
FALSE,FALSE,Guatemala,Izabal,NA,81,5,NA,1,NA,NA,464251.1213
FALSE,FALSE,Guatemala,Jalapa,NA,99,23,NA,1,NA,NA,335376.9941
FALSE,FALSE,Guatemala,Jutiapa,NA,114,31,NA,1,NA,NA,465470.4441
FALSE,FALSE,Guatemala,NA,NA,3907,1032,NA,88,NA,NA,15930826.42
FALSE,FALSE,Guatemala,Peten,NA,166,42,NA,2,NA,NA,703208.9253
FALSE,FALSE,Guatemala,Quezaltenango,NA,363,38,NA,1,NA,NA,846007.6488
FALSE,FALSE,Guatemala,Quiche,NA,135,37,NA,6,NA,NA,1022515.608
FALSE,FALSE,Guatemala,Retalhuleu,NA,47,15,NA,2,NA,NA,356475.8653
