Pregnant,Cohort,Country,Admin1,Admin2,S,C,M,G,I_latent,S_latent,N
FALSE,FALSE,Mexico,Aguascalientes,NA,NA,1,NA,0,NA,NA,1303572.861
FALSE,FALSE,Mexico,Baja_California,NA,NA,3,NA,0,NA,NA,670814.7405
FALSE,FALSE,Mexico,Baja_California_Sur,NA,NA,59,NA,0,NA,NA,3316971.343
FALSE,FALSE,Mexico,Campeche,NA,NA,94,NA,0,NA,NA,884461.6469
FALSE,FALSE,Mexico,Chiapas,NA,NA,821,NA,3,NA,NA,5432236.928
FALSE,FALSE,Mexico,Chihuahua,NA,NA,0,NA,0,NA,NA,3732708.73
FALSE,FALSE,Mexico,Coahuila,NA,NA,336,NA,0,NA,NA,3449014.789
FALSE,FALSE,Mexico,Colima,NA,NA,297,NA,0,NA,NA,718902.6532
FALSE,FALSE,Mexico,Distrito_Federal,NA,NA,0,NA,0,NA,NA,9017717.382
FALSE,FALSE,Mexico,Durango,NA,NA,3,NA,0,NA,NA,1486196.786
FALSE,FALSE,Mexico,Guanajuato,NA,NA,5,NA,0,NA,NA,6205633.035
FALSE,FALSE,Mexico,Guerrero,NA,NA,887,NA,6,NA,NA,3769448.86
FALSE,FALSE,Mexico,Hidalgo,NA,NA,285,NA,0,NA,NA,3241801.667
FALSE,FALSE,Mexico,Jalisco,NA,NA,464,NA,0,NA,NA,8260770.639
FALSE,FALSE,Mexico,Mexico,NA,NA,27,NA,1,NA,NA,17959497.9
FALSE,FALSE,Mexico,Michoacan,NA,NA,68,NA,1,NA,NA,4835853.46
FALSE,FALSE,Mexico,Morelos,NA,NA,504,NA,2,NA,NA,2010085.567
FALSE,FALSE,Mexico,Nayarit,NA,NA,686,NA,0,NA,NA,1167158.965
FALSE,FALSE,Mexico,Nuevo_Leon,NA,NA,950,NA,0,NA,NA,5229165.22
FALSE,FALSE,Mexico,Oaxaca,NA,NA,514,NA,0,NA,NA,4196233.521
FALSE,FALSE,Mexico,Puebla,NA,NA,225,NA,0,NA,NA,6822239.248
FALSE,FALSE,Mexico,Queretaro,NA,NA,17,NA,0,NA,NA,2064425.933
FALSE,FALSE,Mexico,Quintana_Roo,NA,NA,388,NA,1,NA,NA,1463279.389
FALSE,FALSE,Mexico,San_Luis_Potosi,NA,NA,530,NA,0,NA,NA,2870376.993
FALSE,FALSE,Mexico,Sinaloa,NA,NA,186,NA,0,NA,NA,3049856.353
FALSE,FALSE,Mexico,Sonora,NA,NA,84,NA,0,NA,NA,2952661.307
FALSE,FALSE,Mexico,Tabasco,NA,NA,375,NA,2,NA,NA,2446022.741
FALSE,FALSE,Mexico,Tamaulipas,NA,NA,802,NA,0,NA,NA,3548444.295
FALSE,FALSE,Mexico,Tlaxcala,NA,NA,0,NA,0,NA,NA,1122880.203
FALSE,FALSE,Mexico,Veracruz,NA,NA,2102,NA,2,NA,NA,8193975.763
FALSE,FALSE,Mexico,Yucatan,NA,NA,1305,NA,1,NA,NA,2165336.31
FALSE,FALSE,Mexico,Zacatecas,NA,NA,1,NA,0,NA,NA,1713144.853
FALSE,FALSE,Mexico,Aguascalientes,NA,NA,NA,0,NA,NA,NA,23278.54371
FALSE,FALSE,Mexico,Baja_California,NA,NA,NA,0,NA,NA,NA,11665.22329
FALSE,FALSE,Mexico,Baja_California_Sur,NA,NA,NA,0,NA,NA,NA,55723.41699
FALSE,FALSE,Mexico,Campeche,NA,NA,NA,1,NA,NA,NA,15069.91279
FALSE,FALSE,Mexico,Chiapas,NA,NA,NA,3,NA,NA,NA,93099.72799
FALSE,FALSE,Mexico,Chihuahua,NA,NA,NA,0,NA,NA,NA,63883.58679
FALSE,FALSE,Mexico,Coahuila,NA,NA,NA,0,NA,NA,NA,61875.53991
FALSE,FALSE,Mexico,Colima,NA,NA,NA,0,NA,NA,NA,12809.65606
FALSE,FALSE,Mexico,Distrito_Federal,NA,NA,NA,0,NA,NA,NA,160145.7806
FALSE,FALSE,Mexico,Durango,NA,NA,NA,0,NA,NA,NA,25440.50332
FALSE,FALSE,Mexico,Guanajuato,NA,NA,NA,0,NA,NA,NA,110136.4239
FALSE,FALSE,Mexico,Guerrero,NA,NA,NA,4,NA,NA,NA,65197.21593
FALSE,FALSE,Mexico,Hidalgo,NA,NA,NA,1,NA,NA,NA,56448.39851
