Pregnant,Cohort,Country,Admin1,Admin2,S,C,M,G,I_latent,S_latent,N
FALSE,FALSE,Nicaragua,Bilwi,NA,NA,2,NA,NA,NA,NA,220214
FALSE,FALSE,Nicaragua,Las_Minas,NA,NA,18,NA,NA,NA,NA,255013
FALSE,FALSE,Nicaragua,Zelaya_Central,NA,NA,1,NA,NA,NA,NA,169579
FALSE,FALSE,Nicaragua,RACCS,NA,NA,10,NA,NA,NA,NA,186645
FALSE,FALSE,Nicaragua,Boaco,NA,NA,33,NA,NA,NA,NA,182454
FALSE,FALSE,Nicaragua,Carazo,NA,NA,127,NA,NA,NA,NA,194606
FALSE,FALSE,Nicaragua,Chinandega,NA,NA,16,NA,NA,NA,NA,435843
FALSE,FALSE,Nicaragua,Chontales,NA,NA,48,NA,NA,NA,NA,198808
FALSE,FALSE,Nicaragua,Esteli,NA,NA,92,NA,NA,NA,NA,227651
FALSE,FALSE,Nicaragua,Grananda,NA,NA,56,NA,NA,NA,NA,211005
FALSE,FALSE,Nicaragua,Jinotega,NA,NA,43,NA,NA,NA,NA,460414
FALSE,FALSE,Nicaragua,Leon,NA,NA,84,NA,NA,NA,NA,417051
FALSE,FALSE,Nicaragua,Madriz,NA,NA,23,NA,NA,NA,NA,170447
FALSE,FALSE,Nicaragua,Managua,NA,NA,1230,NA,NA,NA,NA,1521612
FALSE,FALSE,Nicaragua,Masaya,NA,NA,77,NA,NA,NA,NA,380631
FALSE,FALSE,Nicaragua,Matagalpa,NA,NA,22,NA,NA,NA,NA,651451
FALSE,FALSE,Nicaragua,Nueva_Segovia,NA,NA,71,NA,NA,NA,NA,264252
FALSE,FALSE,Nicaragua,Rio_San_Juan,NA,NA,6,NA,NA,NA,NA,132059
FALSE,FALSE,Nicaragua,Rivas,NA,NA,26,NA,NA,NA,NA,180679
TRUE,FALSE,Nicaragua,NA,NA,NA,1117,NA,NA,NA,NA,187486.3
FALSE,FALSE,Nicaragua,NA,NA,NA,NA,2,NA,NA,NA,124030.8
FALSE,FALSE,Nicaragua,NA,NA,NA,2061,NA,NA,NA,NA,6460414
FALSE,FALSE,Nicaragua,NA,NA,10632,NA,NA,NA,NA,NA,6460414
FALSE,TRUE,Nicaragua,Managua,Managua,NA,NA,NA,NA,983,NA,2147
