Pregnant,Cohort,Country,Admin1,Admin2,S,C,M,G,I_latent,S_latent,N
FALSE,FALSE,Panama,Bocas_del_Toro,NA,NA,27,NA,0,NA,NA,131913.7015
FALSE,FALSE,Panama,Chiriquí,NA,NA,3,NA,0,NA,NA,459012.705
FALSE,FALSE,Panama,Coclé,NA,NA,5,NA,0,NA,NA,260188.0786
FALSE,FALSE,Panama,Colón,NA,NA,7,NA,0,NA,NA,260528.4616
FALSE,FALSE,Panama,Darién,NA,NA,5,NA,1,NA,NA,52733.8696
FALSE,FALSE,Panama,Herrera,NA,NA,175,NA,0,NA,NA,122434.9684
FALSE,FALSE,Panama,Kuna_Yala,NA,NA,194,NA,1,NA,NA,15541
FALSE,FALSE,Panama,Los_Santos,NA,NA,104,NA,1,NA,NA,97575.27047
FALSE,FALSE,Panama,Ngöbe_Buglé,NA,NA,1,NA,0,NA,NA,174188.2102
FALSE,FALSE,Panama,Panamá_Oeste,NA,NA,116,NA,0,NA,NA,511773.5443
FALSE,FALSE,Panama,Panamá,NA,NA,606,NA,2,NA,NA,1390395.265
FALSE,FALSE,Panama,Veraguas,NA,NA,5,NA,1,NA,NA,252559.0815
TRUE,FALSE,Panama,Bocas_del_Toro,NA,1,1,NA,NA,NA,NA,3633.494995
TRUE,FALSE,Panama,Chiriquí,NA,9,0,NA,NA,NA,NA,12797.23421
TRUE,FALSE,Panama,Coclé,NA,3,0,NA,NA,NA,NA,7220.975251
TRUE,FALSE,Panama,Colón,NA,4,0,NA,NA,NA,NA,7333.037941
TRUE,FALSE,Panama,Darién,NA,5,0,NA,NA,NA,NA,1434.988122
TRUE,FALSE,Panama,Herrera,NA,13,7,NA,NA,NA,NA,3441.9191
TRUE,FALSE,Panama,Kuna_Yala,NA,10,4,NA,NA,NA,NA,379.7
TRUE,FALSE,Panama,Los_Santos,NA,12,4,NA,NA,NA,NA,1999.894751
TRUE,FALSE,Panama,Ngöbe_Buglé,NA,5,1,NA,NA,NA,NA,3354.058361
TRUE,FALSE,Panama,Panamá_Oeste,NA,36,6,NA,NA,NA,NA,9946.131733
TRUE,FALSE,Panama,Panamá,NA,149,65,NA,NA,NA,NA,28399.7728
TRUE,FALSE,Panama,Veraguas,NA,1,1,NA,NA,NA,NA,4942.748992
FALSE,FALSE,Panama,Bocas_del_Toro,NA,NA,NA,0,NA,NA,NA,2562.676137
FALSE,FALSE,Panama,Chiriquí,NA,NA,NA,0,NA,NA,NA,9106.840047
FALSE,FALSE,Panama,Coclé,NA,NA,NA,0,NA,NA,NA,5087.388954
FALSE,FALSE,Panama,Colón,NA,NA,NA,0,NA,NA,NA,5119.261006
FALSE,FALSE,Panama,Darién,NA,NA,NA,0,NA,NA,NA,1005.314639
FALSE,FALSE,Panama,Herrera,NA,NA,NA,3,NA,NA,NA,2411.129851
FALSE,FALSE,Panama,Kuna_Yala,NA,NA,NA,1,NA,NA,NA,265.79
FALSE,FALSE,Panama,Los_Santos,NA,NA,NA,1,NA,NA,NA,1399.926326
FALSE,FALSE,Panama,Ngöbe_Buglé,NA,NA,NA,0,NA,NA,NA,2347.840853
FALSE,FALSE,Panama,Panamá_Oeste,NA,NA,NA,10,NA,NA,NA,6962.292213
FALSE,FALSE,Panama,Panamá,NA,NA,NA,10,NA,NA,NA,19879.84096
FALSE,FALSE,Panama,Veraguas,NA,NA,NA,2,NA,NA,NA,3459.924294
FALSE,FALSE,Panama,NA,NA,5646,1305,NA,NA,NA,NA,3990000
FALSE,FALSE,Panama,NA,NA,NA,NA,NA,NA,NA,NA,73959.8451
