Pregnant,Cohort,Country,Admin1,Admin2,S,C,M,G,I_latent,S_latent,N
FALSE,FALSE,Peru,Amazonas,NA,453,291,NA,NA,NA,NA,430407.8753
FALSE,FALSE,Peru,Ancash,NA,9,0,NA,NA,NA,NA,1161150.19
FALSE,FALSE,Peru,Apurimac,NA,0,0,NA,NA,NA,NA,464888.5218
FALSE,FALSE,Peru,Arequipa,NA,0,0,NA,NA,NA,NA,1283902.384
FALSE,FALSE,Peru,Ayacucho,NA,0,0,NA,NA,NA,NA,687143.7809
FALSE,FALSE,Peru,Cajamarca,NA,82,79,NA,NA,NA,NA,1562313.633
FALSE,FALSE,Peru,Callao,NA,0,0,NA,NA,NA,NA,761313.0301
FALSE,FALSE,Peru,Cusco,NA,0,0,NA,NA,NA,NA,1331507.288
FALSE,FALSE,Peru,Huanuco,NA,9,0,NA,NA,NA,NA,866479.7375
FALSE,FALSE,Peru,Huancavelica,NA,0,0,NA,NA,NA,NA,502134.4775
FALSE,FALSE,Peru,Ica,NA,4335,325,NA,NA,NA,NA,776100.703
FALSE,FALSE,Peru,Junin,NA,0,0,NA,NA,NA,NA,1359439.249
FALSE,FALSE,Peru,La_Libertad,NA,124,30,NA,NA,NA,NA,1839814.86
FALSE,FALSE,Peru,Lambayeque,NA,1,0,NA,NA,NA,NA,1252776.841
FALSE,FALSE,Peru,Lima,NA,115,105,NA,NA,NA,NA,9620024.944
FALSE,FALSE,Peru,Loreto,NA,2850,561,NA,NA,NA,NA,1040953.914
FALSE,FALSE,Peru,Madre_de_Dios,NA,0,0,NA,NA,NA,NA,130527.0542
FALSE,FALSE,Peru,Moquegua,NA,0,0,NA,NA,NA,NA,176092.6464
FALSE,FALSE,Peru,Pasco,NA,0,0,NA,NA,NA,NA,306721.7041
FALSE,FALSE,Peru,Piura,NA,292,22,NA,NA,NA,NA,1848950.343
FALSE,FALSE,Peru,Puno,NA,0,0,NA,NA,NA,NA,1602589.09
FALSE,FALSE,Peru,San_Martin,NA,65,25,NA,NA,NA,NA,829483.9133
FALSE,FALSE,Peru,Tacna,NA,0,0,NA,NA,NA,NA,335519.3115
FALSE,FALSE,Peru,Tumbes,NA,118,87,NA,NA,NA,NA,228188.7217
FALSE,FALSE,Peru,Ucayali,NA,213,221,NA,NA,NA,NA,491473.2258
FALSE,FALSE,Peru,NA,NA,8666,1746,NA,NA,NA,NA,30889897.44
FALSE,FALSE,Peru,NA,NA,NA,NA,9,NA,NA,NA,619628.4
TRUE,FALSE,Peru,Amazonas,NA,1,7,NA,NA,NA,NA,17172.78373
TRUE,FALSE,Peru,Ancash,NA,0,0,NA,NA,NA,NA,36174.20179
TRUE,FALSE,Peru,Apurimac,NA,0,0,NA,NA,NA,NA,14373.11911
TRUE,FALSE,Peru,Arequipa,NA,0,0,NA,NA,NA,NA,49438.64425
TRUE,FALSE,Peru,Ayacucho,NA,0,0,NA,NA,NA,NA,25173.08897
TRUE,FALSE,Peru,Cajamarca,NA,37,36,NA,NA,NA,NA,51974.89529
TRUE,FALSE,Peru,Callao,NA,0,0,NA,NA,NA,NA,19258.35732
TRUE,FALSE,Peru,Cusco,NA,0,0,NA,NA,NA,NA,36304.34447
TRUE,FALSE,Peru,Huanuco,NA,0,0,NA,NA,NA,NA,27458.17105
TRUE,FALSE,Peru,Huancavelica,NA,0,0,NA,NA,NA,NA,16599.67169
TRUE,FALSE,Peru,Ica,NA,139,65,NA,NA,NA,NA,16600.44111
TRUE,FALSE,Peru,Junin,NA,0,0,NA,NA,NA,NA,38527.64941
TRUE,FALSE,Peru,La_Libertad,NA,13,0,NA,NA,NA,NA,72494.10637
TRUE,FALSE,Peru,Lambayeque,NA,0,0,NA,NA,NA,NA,50713.72721
TRUE,FALSE,Peru,Lima,NA,0,3,NA,NA,NA,NA,274224.4803
TRUE,FALSE,Peru,Loreto,NA,118,103,NA,NA,NA,NA,58391.11671
TRUE,FALSE,Peru,Madre_de_Dios,NA,0,0,NA,NA,NA,NA,4613.413854
TRUE,FALSE,Peru,Moquegua,NA,0,0,NA,NA,NA,NA,3775.822253
TRUE,FALSE,Peru,Pasco,NA,0,0,NA,NA,NA,NA,12007.05583
TRUE,FALSE,Peru,Piura,NA,3,2,NA,NA,NA,NA,77672.99147
TRUE,FALSE,Peru,Puno,NA,0,0,NA,NA,NA,NA,48464.09457
TRUE,FALSE,Peru,San_Martin,NA,1,1,NA,NA,NA,NA,30153.8195
TRUE,FALSE,Peru,Tacna,NA,0,0,NA,NA,NA,NA,8965.729887
TRUE,FALSE,Peru,Tumbes,NA,14,7,NA,NA,NA,NA,9993.648889
TRUE,FALSE,Peru,Ucayali,NA,0,3,NA,NA,NA,NA,23411.93189
TRUE,FALSE,Peru,NA,NA,326,227,NA,NA,NA,NA,1023937.307
