Pregnant,Cohort,Country,Admin1,Admin2,S,C,M,G,I_latent,S_latent,N
FALSE,FALSE,Puerto_Rico,Ponce,Adjuntas,777,366,NA,NA,NA,NA,19484
FALSE,FALSE,Puerto_Rico,Aguadilla,Aguada,493,272,NA,NA,NA,NA,41659
FALSE,FALSE,Puerto_Rico,Aguadilla,Aguadilla,843,516,NA,NA,NA,NA,60026
FALSE,FALSE,Puerto_Rico,Caguas,Aguas_Buenas,530,348,NA,NA,NA,NA,28707
FALSE,FALSE,Puerto_Rico,Caguas,Aibonito,420,246,NA,NA,NA,NA,25890
FALSE,FALSE,Puerto_Rico,Mayaguez,Anasco,361,181,NA,NA,NA,NA,29177
FALSE,FALSE,Puerto_Rico,Arecibo,Arecibo,1545,932,NA,NA,NA,NA,95418
FALSE,FALSE,Puerto_Rico,Ponce,Arroyo,609,388,NA,NA,NA,NA,19403
FALSE,FALSE,Puerto_Rico,Arecibo,Barceloneta,236,158,NA,NA,NA,NA,24582
FALSE,FALSE,Puerto_Rico,Bayamon,Barranquitas,482,264,NA,NA,NA,NA,30352
FALSE,FALSE,Puerto_Rico,Bayamon,Bayamon,6187,4069,NA,NA,NA,NA,202115
FALSE,FALSE,Puerto_Rico,Mayaguez,Cabo_Rojo,797,458,NA,NA,NA,NA,50747
FALSE,FALSE,Puerto_Rico,Caguas,Caguas,2250,1017,NA,NA,NA,NA,140706
FALSE,FALSE,Puerto_Rico,Arecibo,Camuy,587,347,NA,NA,NA,NA,35037
FALSE,FALSE,Puerto_Rico,Metro_San_Juan,Canovanas,375,149,NA,NA,NA,NA,47349
FALSE,FALSE,Puerto_Rico,Metro_San_Juan,Carolina,1984,972,NA,NA,NA,NA,172171
FALSE,FALSE,Puerto_Rico,Bayamon,Catano,390,235,NA,NA,NA,NA,27100
FALSE,FALSE,Puerto_Rico,Caguas,Cayey,569,314,NA,NA,NA,NA,47719
FALSE,FALSE,Puerto_Rico,Fajardo,Ceiba,77,28,NA,NA,NA,NA,13558
FALSE,FALSE,Puerto_Rico,Arecibo,Ciales,133,85,NA,NA,NA,NA,18812
FALSE,FALSE,Puerto_Rico,Caguas,Cidra,820,496,NA,NA,NA,NA,43358
FALSE,FALSE,Puerto_Rico,Ponce,Coamo,901,527,NA,NA,NA,NA,40408
FALSE,FALSE,Puerto_Rico,Bayamon,Comerio,239,154,NA,NA,NA,NA,20760
FALSE,FALSE,Puerto_Rico,Bayamon,Corozal,562,361,NA,NA,NA,NA,37101
FALSE,FALSE,Puerto_Rico,Fajardo,Culebra,14,1,NA,NA,NA,NA,1796
FALSE,FALSE,Puerto_Rico,Bayamon,Dorado,800,460,NA,NA,NA,NA,37853
FALSE,FALSE,Puerto_Rico,Fajardo,Fajardo,293,107,NA,NA,NA,NA,36614
FALSE,FALSE,Puerto_Rico,Arecibo,Florida,196,144,NA,NA,NA,NA,12596
FALSE,FALSE,Puerto_Rico,Ponce,Guanica,561,361,NA,NA,NA,NA,19327
FALSE,FALSE,Puerto_Rico,Ponce,Guayama,864,508,NA,NA,NA,NA,44773
FALSE,FALSE,Puerto_Rico,Ponce,Guayanilla,1203,756,NA,NA,NA,NA,21948
FALSE,FALSE,Puerto_Rico,Metro_San_Juan,Guaynabo,2050,1166,NA,NA,NA,NA,97111
FALSE,FALSE,Puerto_Rico,Caguas,Gurabo,406,144,NA,NA,NA,NA,44969
FALSE,FALSE,Puerto_Rico,Arecibo,Hatillo,892,543,NA,NA,NA,NA,41529
FALSE,FALSE,Puerto_Rico,Mayaguez,Hormigueros,245,125,NA,NA,NA,NA,16934
FALSE,FALSE,Puerto_Rico,Caguas,Humacao,268,82,NA,NA,NA,NA,58116
FALSE,FALSE,Puerto_Rico,Aguadilla,Isabela,865,524,NA,NA,NA,NA,45210
FALSE,FALSE,Puerto_Rico,Ponce,Jayuya,691,436,NA,NA,NA,NA,16614
FALSE,FALSE,Puerto_Rico,Ponce,Juana_Diaz,1302,509,NA,NA,NA,NA,50265
FALSE,FALSE,Puerto_Rico,Caguas,Juncos,238,69,NA,NA,NA,NA,40257
FALSE,FALSE,Puerto_Rico,Mayaguez,Lajas,471,261,NA,NA,NA,NA,25719
FALSE,FALSE,Puerto_Rico,Arecibo,Lares,425,187,NA,NA,NA,NA,30689
